build_id,image_name,implementation,width,height,bit_depth,is_grayscale,histogram_us,scan_us,norm_scale_us,h2d_us,h2d_bytes,d2h_us,d2h_bytes
1776697865,moon_16bit.png,optimized.cl,560,420,16,false,458,2241,4,114,1411200,109,1411200
1776697865,wires_16b.png,naive.cl,326,326,16,false,11,2241,13364,52,637656,49,637656
1776697865,wires_16b.png,optimized.cl,326,326,16,false,261,2241,4,54,637656,49,637656
1776697865,color_gradient_16bit.png,naive.cl,512,512,16,false,21,2241,12369,126,1572864,121,1572864
1776697865,color_gradient_16bit.png,optimized.cl,512,512,16,false,451,2241,4,125,1572864,121,1572864
1776697865,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,231,2937600,566,2937600
1776697865,building_16b.png,optimized.cl,720,680,16,false,829,2241,4,231,2937600,326,2937600
1776697865,paint_16b.png,naive.cl,500,375,16,false,12,2241,12809,90,1125000,87,1125000
1776697865,paint_16b.png,optimized.cl,500,375,16,false,400,2241,4,90,1125000,88,1125000
1776697865,cars_16b.png,naive.cl,370,415,16,false,10,2241,13035,74,921300,70,921300
1776697865,cars_16b.png,optimized.cl,370,415,16,false,313,2241,4,85,921300,73,921300
1776697865,lamp_16b.png,naive.cl,450,500,16,false,57,2241,13577,108,1350000,105,1350000
1776697865,lamp_16b.png,optimized.cl,450,500,16,false,473,2241,3,108,1350000,105,1350000
1776697865,land_16b.png,naive.cl,1039,789,16,false,58,2240,13597,403,4918626,708,4918626
1776697865,land_16b.png,optimized.cl,1039,789,16,false,1338,2241,4,399,4918626,874,4918626
1776697865,robot_16b.png,naive.cl,450,450,16,false,34,2247,13373,102,1215000,94,1215000
1776697865,robot_16b.png,optimized.cl,450,450,16,false,394,2241,4,96,1215000,94,1215000
1776697866,test_16b.png,naive.cl,1024,683,16,true,40,2241,10252,114,1398784,108,1398784
1776697866,test_16b.png,optimized.cl,1024,683,16,true,1226,2240,5,116,1398784,108,1398784
1776697866,moon_16bit.png,naive.cl,560,420,16,false,16,2241,13340,112,1411200,109,1411200
1776697866,moon_16bit.png,optimized.cl,560,420,16,false,458,2241,4,113,1411200,109,1411200
1776697866,wires_16b.png,naive.cl,326,326,16,false,10,2241,13364,51,637656,49,637656
1776697866,wires_16b.png,optimized.cl,326,326,16,false,264,2241,4,54,637656,49,637656
1776697866,color_gradient_16bit.png,naive.cl,512,512,16,false,19,2241,12368,126,1572864,121,1572864
1776697866,color_gradient_16bit.png,optimized.cl,512,512,16,false,452,2240,4,125,1572864,121,1572864
1776697866,building_16b.png,naive.cl,720,680,16,false,35,2240,13487,231,2937600,318,2937600
1776697866,building_16b.png,optimized.cl,720,680,16,false,827,2241,4,231,2937600,316,2937600
1776697866,paint_16b.png,naive.cl,500,375,16,false,13,2242,12809,90,1125000,88,1125000
1776697866,paint_16b.png,optimized.cl,500,375,16,false,402,2241,4,90,1125000,88,1125000
1776697866,cars_16b.png,naive.cl,370,415,16,false,10,2241,13036,74,921300,70,921300
